Fecha;TIPO CAMBIO COMPRA;TIPO DE CAMBIO VENTA;
4 set 2015;531,08;543,54;
5 set 2015;531,45;543,97;
6 set 2015;531,45;543,97;
7 set 2015;531,45;543,97;
8 set 2015;531,50;543,99;
9 set 2015;531,47;544,02;
10 set 2015;531,28;543,84;
11 set 2015;529,86;542,40;
12 set 2015;528,15;540,51;
13 set 2015;528,15;540,51;
14 set 2015;528,15;540,51;
15 set 2015;527,59;539,98;
16 set 2015;527,59;539,98;
17 set 2015;527,42;539,83;
18 set 2015;527,35;539,78;
19 set 2015;527,43;539,88;
20 set 2015;527,43;539,88;
21 set 2015;527,43;539,88;
22 set 2015;527,39;539,89;
23 set 2015;527,38;539,82;
24 set 2015;527,39;539,81;
25 set 2015;527,64;540,09;
26 set 2015;527,72;540,21;
27 set 2015;527,72;540,21;
28 set 2015;527,72;540,21;
29 set 2015;527,71;540,21;
30 set 2015;528,62;541,04;
1 oct 2015;528,80;541,27;
2 oct 2015;528,93;541,33;
3 oct 2015;528,92;541,29;
4 oct 2015;528,92;541,29;
5 oct 2015;528,92;541,29;
6 oct 2015;528,96;541,29;
7 oct 2015;528,94;541,30;
8 oct 2015;529,01;541,40;
9 oct 2015;528,99;541,36;
10 oct 2015;528,47;540,76;
11 oct 2015;528,47;540,76;
12 oct 2015;528,47;540,76;
13 oct 2015;528,47;540,76;
14 oct 2015;528,13;540,49;
15 oct 2015;528,06;540,54;
16 oct 2015;528,05;540,53;
17 oct 2015;528,01;540,46;
18 oct 2015;528,01;540,46;
19 oct 2015;528,01;540,46;
20 oct 2015;528,00;540,43;
21 oct 2015;528,09;540,52;
22 oct 2015;528,08;540,54;
23 oct 2015;528,07;540,57;
24 oct 2015;528,06;540,60;
25 oct 2015;528,06;540,60;
26 oct 2015;528,06;540,60;
27 oct 2015;528,10;540,58;
28 oct 2015;528,07;540,55;
29 oct 2015;527,93;540,38;
30 oct 2015;527,99;540,40;
31 oct 2015;528,01;540,43;
1 nov 2015;528,01;540,43;
2 nov 2015;528,01;540,43;
3 nov 2015;528,09;540,42;
4 nov 2015;528,01;540,41;
5 nov 2015;527,97;540,41;
6 nov 2015;527,95;540,37;
7 nov 2015;527,93;540,37;
8 nov 2015;527,93;540,37;
9 nov 2015;527,93;540,37;
10 nov 2015;528,01;540,41;
11 nov 2015;527,95;540,40;
12 nov 2015;527,94;540,47;
13 nov 2015;527,92;540,46;
14 nov 2015;527,94;540,44;
15 nov 2015;527,94;540,44;
16 nov 2015;527,94;540,44;
17 nov 2015;527,12;539,46;
18 nov 2015;526,62;539,04;
19 nov 2015;526,60;539,05;
20 nov 2015;526,44;538,94;
21 nov 2015;526,41;538,96;
22 nov 2015;526,41;538,96;
23 nov 2015;526,41;538,96;
24 nov 2015;526,47;538,94;
25 nov 2015;526,40;538,98;
26 nov 2015;526,45;538,95;
27 nov 2015;526,44;538,86;
28 nov 2015;526,05;538,71;
29 nov 2015;526,05;538,71;
30 nov 2015;526,05;538,71;
1 dic 2015;526,29;538,68;
2 dic 2015;526,27;538,74;
3 dic 2015;526,25;538,73;
4 dic 2015;526,36;538,77;
5 dic 2015;526,03;538,51;
6 dic 2015;526,03;538,51;
7 dic 2015;526,03;538,51;
8 dic 2015;526,10;538,47;
9 dic 2015;526,29;538,71;
10 dic 2015;526,30;538,70;
11 dic 2015;526,27;538,70;
12 dic 2015;526,26;538,71;
13 dic 2015;526,26;538,71;
14 dic 2015;526,26;538,71;
15 dic 2015;526,27;538,70;
16 dic 2015;526,21;538,69;
17 dic 2015;526,23;538,70;
18 dic 2015;526,33;538,81;
19 dic 2015;528,40;540,87;
20 dic 2015;528,40;540,87;
21 dic 2015;528,40;540,87;
22 dic 2015;530,12;542,60;
23 dic 2015;530,25;542,88;
24 dic 2015;530,43;543,04;
25 dic 2015;531,31;544,30;
26 dic 2015;531,31;544,30;
27 dic 2015;531,31;544,30;
28 dic 2015;531,31;544,30;
29 dic 2015;532,33;545,04;
30 dic 2015;532,31;545,18;
31 dic 2015;531,94;544,87;
1 ene 2016;531,94;544,87;
2 ene 2016;531,94;544,87;
3 ene 2016;531,94;544,87;
4 ene 2016;531,94;544,87;
5 ene 2016;530,77;543,79;
6 ene 2016;530,26;543,39;
7 ene 2016;530,49;543,42;
8 ene 2016;530,45;543,36;
9 ene 2016;529,76;542,60;
10 ene 2016;529,76;542,60;
11 ene 2016;529,76;542,60;
12 ene 2016;529,34;541,93;
13 ene 2016;528,71;541,33;
14 ene 2016;528,74;541,33;
15 ene 2016;528,74;541,30;
16 ene 2016;528,74;541,34;
17 ene 2016;528,74;541,34;
18 ene 2016;528,74;541,34;
19 ene 2016;528,81;541,29;
20 ene 2016;529,01;541,54;
